source_collection,paper_id,pmid,doi,year,center,title,pi_candidates,subset_reason,virus_or_pathogen,assay_types,cross_virus_relevance,priority
current-program,pmid-34304580,34304580,10.1161/HYPERTENSIONAHA.120.16667,2021,,Comparative First-Line Effectiveness and Safety of ACE (Angiotensin-Converting Enzyme) Inhibitors and Angiotensin Receptor Blockers: A Multinational Cohort Study.,,explicit cross-virus/shared-host signal,,,high,low
current-program,pmid-34201591,34201591,10.3390/v13071202,2021,CViSB,Successful Clearance of 300 Day SARS-CoV-2 Infection in a Subject with B-Cell Depletion Associated Prolonged (B-DEAP) COVID by REGEN-COV Anti-Spike Monoclonal Antibody Cocktail.,Kristian Andersen;Robert Garry,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-34192736,34192736,10.1038/s41586-021-03754-2,2021,,Untangling introductions and persistence in COVID-19 resurgence in Europe.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-34031078,34031078,10.1136/bcr-2020-241327,2021,SCRIPT,First report of Pseudomonas nitroreducens cultured from the lungs of a patient with pneumonia.,Richard Wunderink;Alan Hauser,candidate relevance plus virus/pathogen/assay support,influenza;pseudomonas_aeruginosa,proteomics,candidate,medium
current-program,pmid-34013263,34013263,10.1101/2021.05.11.443609,2021,,Early cross-coronavirus reactive signatures of protective humoral immunity against COVID-19.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-33929301,33929301,10.1164/rccm.202102-0498ST,2021,SCRIPT,Nucleic Acid-based Testing for Noninfluenza Viral Pathogens in Adults with Suspected Community-acquired Pneumonia. An Official American Thoracic Society Clinical Practice Guideline.,Richard Wunderink,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;influenza,,candidate,medium
current-program,pmid-33905777,33905777,10.1016/j.humpath.2021.04.010,2021,SCRIPT,Comprehensive evaluation of bronchoalveolar lavage from patients with severe COVID-19 and correlation with clinical outcomes.,Richard Wunderink,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;influenza,,candidate,medium
current-program,pmid-33880483,33880483,10.1101/2021.04.09.21255206,2021,,Coincident rapid expansion of two SARS-CoV-2 lineages with enhanced infectivity in Nigeria.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-33875439,33875439,10.1128/AAC.00417-21,2021,SCRIPT,Characterizing Risk Factors for Clostridioides difficile Infection among Hospitalized Patients with Community-Acquired Pneumonia.,Richard Wunderink,explicit cross-virus/shared-host signal,clostridioides_difficile,,high,medium
current-program,pmid-33852858,33852858,10.1016/j.celrep.2021.108986,2021,CViSB,Cellular mRNA triggers structural transformation of Ebola virus matrix protein VP40 to its essential regulatory form.,Kristian Andersen,candidate relevance plus virus/pathogen/assay support,,proteomics,candidate,medium
current-program,pmid-33780443,33780443,10.1371/journal.pcbi.1008837,2021,,Pandemic velocity: Forecasting COVID-19 in the US with a machine learning & Bayesian time series compartmental model.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2,clinical_modeling,candidate,medium
current-program,pmid-33654293,33654293,10.1038/s41591-020-01227-z,2021,,Single-cell meta-analysis of SARS-CoV-2 entry genes across tissues and demographics.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,transcriptomics,candidate,medium
current-program,pmid-33600379,33600379,10.1172/jci.insight.141690,2021,,Aging imparts cell-autonomous dysfunction to regulatory T cells during recovery from influenza pneumonia.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;influenza,epigenomics,candidate,medium
current-program,pmid-33594355,33594355,10.21203/rs.3.rs-208849/v1,2021,,SARS-CoV-2 European resurgence foretold: interplay of introductions and persistence by leveraging genomic and mobility data.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-33586677,33586677,10.1172/JCI140299,2021,,The lung microenvironment shapes a dysfunctional response of alveolar macrophages in aging.,,candidate relevance plus virus/pathogen/assay support,influenza,transcriptomics,candidate,medium
current-program,pmid-33564763,33564763,10.1101/2021.02.05.429759,2021,,Collaboration between the Fab and Fc contribute to maximal protection against SARS-CoV-2 in nonhuman primates following NVX-CoV2373 subunit vaccine with Matrix-M™ vaccination.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-33532801,33532801,10.1101/2021.01.26.21250269,2021,,Immune response to SARS-CoV-2 in the nasal mucosa in children and adults.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;influenza;rsv,,candidate,medium
current-program,pmid-33455849,33455849,10.1016/j.tim.2020.12.002,2021,SCRIPT,Forest and Trees: Exploring Bacterial Virulence with Genome-wide Association Studies and Machine Learning.,Alan Hauser,explicit cross-virus/shared-host signal,,,high,low
current-program,pmid-33429418,33429418,10.1038/s41586-020-03148-w,2021,CViSB,Circuits between infected macrophages and T cells in SARS-CoV-2 pneumonia.,Donald S Grant;Richard Wunderink,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;influenza,transcriptomics,candidate,medium
current-program,pmid-33427208,33427208,10.1172/jci.insight.143129,2021,UCLA-Persistent-BSI,Dissecting strategies to tune the therapeutic potential of SARS-CoV-2-specific monoclonal antibody CR3022.,Melissa Johnson,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
pi-backlog,pmid-33305155,33305155,10.1002/hep4.1597,2020,HPMI,MicroRNA-125b-5p Regulates Hepatocyte Proliferation During the Termination Phase of Liver Regeneration.,Melanie Ott,"viral context plus mechanism/resource terms: virus, pathway",,,candidate,medium
pi-backlog,pmid-33052331,33052331,10.21203/rs.3.rs-86169/v1,2020,SYBIL,Clofazimine is a broad-spectrum coronavirus inhibitor that antagonizes SARS-CoV-2 replication in primary human cell culture and hamsters.,Sumit Chanda,explicit cross-virus or shared-host framing in title/abstract,sars-cov-2;sars-cov;mers-cov;coronavirus,,high,medium
pi-backlog,pmid-32839770,32839770,10.1101/2020.08.18.256776,2020,HPMI,SARS-CoV-2 ORF9c Is a Membrane-Associated Protein that Suppresses Antiviral Responses in Cells.,Nevan Krogan,"viral context plus mechanism/resource terms: viral, coronavirus, sars, interactome",sars-cov-2;sars-cov;coronavirus,proteomics;transcriptomics,candidate,medium
pi-backlog,pmid-32822681,32822681,10.1016/j.jbiotec.2020.08.009,2020,SYBIL,A novel SUMOylation site in the influenza a virus NS1 protein identified with a highly sensitive FRET assay.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, viral, influenza, interaction",influenza,,candidate,medium
pi-backlog,pmid-32817938,32817938,10.1101/2020.08.08.238469,2020,SYBIL;HPMI,An ultra-potent synthetic nanobody neutralizes SARS-CoV-2 by locking Spike into an inactive conformation.,Adolfo Garcia-Sastre;Melanie Ott,"viral context plus mechanism/resource terms: viral, sars, interaction",sars-cov-2;sars-cov,,candidate,medium
pi-backlog,pmid-32522852,32522852,10.1128/JVI.00752-20,2020,SYBIL,A Genome-Wide CRISPR-Cas9 Screen Reveals the Requirement of Host Cell Sulfation for Schmallenberg Virus Infection.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, viral, dependency, screen",,crispr_screen,candidate,medium
pi-backlog,pmid-32415096,32415096,10.1038/s41467-020-16140-9,2020,SYBIL,mRNA display with library of even-distribution reveals cellular interactors of influenza virus NS1.,Sumit Chanda,"viral context plus mechanism/resource terms: virus, influenza, interaction",influenza,,candidate,medium
pi-backlog,pmid-32345665,32345665,10.21873/cgp.20184,2020,CViSB,NDRG1-PLAG1 and TRPS1-PLAG1 Fusion Genes in Chondroid Syringoma.,Kristian Andersen,explicit cross-virus or shared-host framing in title/abstract,influenza,,high,low
pi-backlog,pmid-32287326,32287326,10.1371/journal.ppat.1008409,2020,SYBIL,Characterizing Emerging Canine H3 Influenza Viruses.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: influenza, network",influenza,network_modeling,unknown,low
pi-backlog,pmid-32240278,32240278,10.1371/journal.ppat.1008407,2020,SYBIL,Chemical intervention of influenza virus mRNA nuclear export.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, viral, influenza, pathway, screen",influenza,,candidate,medium
pi-backlog,pmid-32092305,32092305,10.1016/j.antiviral.2020.104747,2020,SYBIL,Influenza virus NS1- C/EBPβ gene regulatory complex inhibits RIG-I transcription.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, influenza, interaction",influenza,,candidate,medium
pi-backlog,pmid-32023470,32023470,10.1016/j.celrep.2020.01.015,2020,SYBIL,OTUB1 Is a Key Regulator of RIG-I-Dependent Immune Signaling and Is Targeted for Proteasomal Degradation by Influenza A NS1.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, viral, influenza, pathway",influenza,,candidate,medium
pi-backlog,pmid-31959425,31959425,10.1016/j.vaccine.2020.01.008,2020,SYBIL,Activity of human serum antibodies in an influenza virus hemagglutinin stalk-based ADCC reporter assay correlates with activity in a CD107a degranulation assay.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, influenza, interaction",influenza,,candidate,medium
pi-backlog,pmid-31776276,31776276,10.1128/JVI.01410-19,2020,SYBIL,Viral Determinants in H5N1 Influenza A Virus Enable Productive Infection of HeLa Cells.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, viral, influenza, host factor",influenza,,candidate,medium
pi-backlog,pmid-31774362,31774362,10.1177/0954411919890998,2020,SYBIL,A comparative assessment of two designs of hip stem using rule-based simulation of combined osseointegration and remodelling.,Sumit Chanda,explicit cross-virus or shared-host framing in title/abstract,,,high,low
hpmi,pmid-33303586,33303586,10.1126/science.aaz4910,2020,HPMI,Genetic interaction mapping informs integrative structure determination of protein complexes.,,candidate relevance plus virus/pathogen/assay support,,structural_biology,candidate,low
hpmi,pmid-33154106,33154106,10.1126/science.abe3255,2020,HPMI,An ultrapotent synthetic nanobody neutralizes SARS-CoV-2 by stabilizing inactive Spike.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;coronavirus,structural_biology,candidate,medium
hpmi,pmid-33097660,33097660,10.1073/pnas.2016650117,2020,HPMI,SARS-CoV-2 Orf6 hijacks Nup98 to block STAT nuclear import and antagonize interferon signaling.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;coronavirus,transcriptomics,candidate,medium
hpmi,pmid-33060197,33060197,10.1126/science.abe9403,2020,HPMI,Comparative host-coronavirus protein interaction networks reveal pan-viral disease mechanisms.,,explicit cross-virus/shared-host signal,sars-cov-2;sars-cov;coronavirus,protein_interaction_mapping;structural_biology,high,medium
hpmi,pmid-32995787,32995787,10.1101/2020.09.24.312298,2020,HPMI,Functional genomic screens identify human host factors for SARS-CoV-2 and common cold coronaviruses.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;coronavirus,crispr_screen,candidate,medium
hpmi,pmid-32785687,32785687,10.1083/jcb.202006159,2020,HPMI,Crippling life support for SARS-CoV-2 and other viruses through synthetic lethality.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
hpmi,pmid-32763915,32763915,10.1126/science.abd3629,2020,HPMI,A molecular pore spans the double membrane of the coronavirus replication organelle.,,candidate relevance plus virus/pathogen/assay support,coronavirus,structural_biology,candidate,medium
hpmi,pmid-32719457,32719457,10.1038/s41594-020-0463-z,2020,HPMI,Structural basis of CD4 downregulation by HIV-1 Nef.,,candidate relevance plus virus/pathogen/assay support,hiv,structural_biology,candidate,medium
hpmi,pmid-32645325,32645325,10.1016/j.cell.2020.06.034,2020,HPMI,The Global Phosphorylation Landscape of SARS-CoV-2 Infection.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;coronavirus,proteomics,candidate,medium
hpmi,pmid-32511329,32511329,10.1101/2020.03.22.002386,2020,HPMI,A SARS-CoV-2-Human Protein-Protein Interaction Map Reveals Drug Targets and Potential Drug-Repurposing.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;coronavirus,protein_interaction_mapping;proteomics,candidate,medium
hpmi,pmid-32444466,32444466,10.1158/2159-8290.CD-20-0559,2020,HPMI,The Landscape of Human Cancer Proteins Targeted by SARS-CoV-2.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,protein_interaction_mapping,candidate,medium
hpmi,pmid-32353859,32353859,10.1038/s41586-020-2286-9,2020,HPMI,A SARS-CoV-2 protein interaction map reveals targets for drug repurposing.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;coronavirus,protein_interaction_mapping;proteomics,candidate,medium
hpmi,pmid-32084337,32084337,10.1016/j.molcel.2020.02.004,2020,HPMI,A Quantitative Genetic Interaction Map of HIV Infection.,,candidate relevance plus virus/pathogen/assay support,hiv,,candidate,medium
hpmi,pmid-31951200,31951200,10.7554/eLife.51461,2020,HPMI,Dynamic post-translational modification profiling of Mycobacterium tuberculosis-infected primary macrophages.,,candidate relevance plus virus/pathogen/assay support,mycobacterium_tuberculosis,proteomics,candidate,medium
current-program,pmid-34013276,34013276,10.1101/2020.08.05.238188,2020,CViSB,Alveolitis in severe SARS-CoV-2 pneumonia is driven by self-sustaining circuits between infected alveolar macrophages and T cells.,Donald S Grant;Richard Wunderink,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;influenza,transcriptomics,candidate,medium
current-program,pmid-33257409,33257409,10.1126/scitranslmed.abe4282,2020,,Lung transplantation for patients with severe COVID-19.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;influenza,transcriptomics,candidate,medium
current-program,pmid-33243278,33243278,10.1186/s12985-020-01459-y,2020,CViSB,Elevated L-threonine is a biomarker for Lassa fever and Ebola.,Robert Garry;Donald S Grant,candidate relevance plus virus/pathogen/assay support,,proteomics;metabolomics,candidate,medium
current-program,pmid-33200139,33200139,10.1101/2020.11.11.20229724,2020,,Epidemiological and immunological features of obesity and SARS-CoV-2.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;influenza,,candidate,medium
current-program,pmid-33171099,33171099,10.1016/j.cell.2020.10.051,2020,SCRIPT,Quick COVID-19 Healers Sustain Anti-SARS-CoV-2 Antibody Production.,Alan Hauser,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-33127906,33127906,10.1038/s41467-020-19057-5,2020,,SARS-CoV-2 viral load is associated with increased disease severity and mortality.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-33037213,33037213,10.1038/s41467-020-18877-9,2020,CViSB,Accommodating individual travel history and unsampled diversity in Bayesian phylogeographic inference of SARS-CoV-2.,Kristian Andersen,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,clinical_modeling,candidate,medium
current-program,pmid-32912998,32912998,10.1126/science.abc8169,2020,,The emergence of SARS-CoV-2 in Europe and North America.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-32907984,32907984,10.1128/JVI.01682-20,2020,CViSB,Broad-Spectrum Antiviral Entry Inhibition by Interfacially Active Peptides.,Robert Garry,explicit cross-virus/shared-host signal,influenza;dengue;hiv,,high,medium
current-program,pmid-32878931,32878931,10.1128/mSphere.00622-20,2020,,Evolution of Early SARS-CoV-2 and Cross-Coronavirus Immunity.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;influenza;rsv,,candidate,medium
current-program,pmid-32755751,32755751,10.1016/j.coi.2020.06.003,2020,,"Dissecting the antibody-OME: past, present, and future.",,candidate relevance plus virus/pathogen/assay support,influenza;dengue;hiv,,candidate,medium
current-program,pmid-32747391,32747391,10.1183/13993003.02049-2020,2020,,Pathogenesis of COVID-19-induced ARDS: implications for an ageing population.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;influenza,,candidate,medium
current-program,pmid-32720752,32720752,10.1111/acel.13180,2020,,Impaired phagocytic function in CX3CR1(+) tissue-resident skeletal muscle macrophages prevents muscle recovery after influenza A virus-induced pneumonia in old mice.,,candidate relevance plus virus/pathogen/assay support,influenza,transcriptomics,candidate,medium
current-program,pmid-32609537,32609537,10.1165/rcmb.2020-0169TR,2020,,Age-Dependent Differences in T-Cell Responses to Influenza A Virus.,,candidate relevance plus virus/pathogen/assay support,influenza,,candidate,medium
current-program,pmid-32596695,32596695,10.1101/2020.06.22.165464,2020,CViSB,"Accommodating individual travel history, global mobility, and unsampled diversity in phylogeography: a SARS-CoV-2 case study.",Kristian Andersen,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-32550242,32550242,,2020,,SARS-CoV-2 Entry Genes Are Most Highly Expressed in Nasal Goblet and Ciliated Cells within Human Airways.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,transcriptomics,candidate,medium
current-program,pmid-32540903,32540903,10.1126/science.abc7520,2020,,Isolation of potent SARS-CoV-2 neutralizing antibodies and protection from disease in a small animal model.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-32513865,32513865,10.1126/science.abb9263,2020,CViSB,Genomic surveillance reveals multiple introductions of SARS-CoV-2 into Northern California.,Kristian Andersen,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-32511558,32511558,10.1101/2020.05.19.20107144,2020,SCRIPT,A Unique Clade of SARS-CoV-2 Viruses is Associated with Lower Viral Loads in Patient Upper Airways.,Alan Hauser,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;influenza,,candidate,medium
current-program,pmid-32511433,32511433,10.1101/2020.04.13.20063784,2020,CViSB,Comparative dynamic aerosol efficiencies of three emergent coronaviruses and the unusual persistence of SARS-CoV-2 in aerosol suspensions.,Melissa Johnson;Robert Garry;Elaine Reed,explicit cross-virus/shared-host signal,sars-cov-2;sars-cov,,high,low
current-program,pmid-32511416,32511416,10.1101/2020.05.21.109322,2020,,The emergence of SARS-CoV-2 in Europe and the US.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-32458974,32458974,10.1093/molbev/msaa130,2020,,Gradients Do Grow on Trees: A Linear-Time O(N)-Dimensional Gradient for Statistical Phylogenetics.,,candidate relevance plus virus/pathogen/assay support,dengue,,candidate,medium
current-program,pmid-32407507,32407507,10.1093/molbev/msaa117,2020,,"Genomic Epidemiology, Evolution, and Transmission Dynamics of Porcine Deltacoronavirus.",,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-32359479,32359479,10.1016/j.molmed.2020.02.008,2020,,"COVID-19: Epidemiology, Evolution, and Cross-Disciplinary Perspectives.",,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-32327758,32327758,10.1038/s41591-020-0868-6,2020,,SARS-CoV-2 entry factors are highly expressed in nasal epithelial cells together with innate immune genes.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,transcriptomics,candidate,medium
current-program,pmid-32156726,32156726,10.1073/pnas.1919198117,2020,SCRIPT,A comparative genomics approach identifies contact-dependent growth inhibition as a virulence determinant.,Alan Hauser,explicit cross-virus/shared-host signal,pseudomonas_aeruginosa,,high,medium
current-program,pmid-32123088,32123088,10.1073/pnas.1906954117,2020,,Assessing the role of live poultry trade in community-structured transmission of avian influenza in China.,,candidate relevance plus virus/pathogen/assay support,influenza,,candidate,medium
current-program,pmid-32120884,32120884,10.3390/v12030260,2020,CViSB,Proteomics Computational Analyses Suggest That the Envelope Glycoproteins of Segmented Jingmen Flavi-Like Viruses are Class II Viral Fusion Proteins (b-Penetrenes) with Mucin-Like Domains.,Robert Garry,candidate relevance plus virus/pathogen/assay support,,proteomics,candidate,medium
current-program,pmid-32065600,32065600,10.1001/jamainternmed.2019.7454,2020,,Comparison of Cardiovascular and Safety Outcomes of Chlorthalidone vs Hydrochlorothiazide to Treat Hypertension.,,explicit cross-virus/shared-host signal,,,high,low
current-program,pmid-31714898,31714898,10.1172/JCI128368,2020,,Linear ubiquitin assembly complex regulates lung epithelial-driven responses during influenza infection.,,candidate relevance plus virus/pathogen/assay support,influenza,,candidate,medium
pi-backlog,pmid-31921042,31921042,10.3389/fmicb.2019.02862,2019,SYBIL,"Functional Characterization and Direct Comparison of Influenza A, B, C, and D NS1 Proteins in vitro and in vivo.",Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: viral, influenza, interaction",influenza,,candidate,medium
pi-backlog,pmid-31851929,31851929,10.1016/j.celrep.2019.11.070,2019,SYBIL,Viral Fitness Landscapes in Diverse Host Species Reveal Multiple Evolutionary Lines for the NS1 Gene of Influenza A Viruses.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: viral, influenza, host response",influenza,,candidate,medium
pi-backlog,pmid-31697957,31697957,10.1016/j.antiviral.2019.104645,2019,CViSB,2019 meeting of the global virus network.,Robert Garry,"viral context plus mechanism/resource terms: virus, viral, network",,network_modeling,candidate,medium
pi-backlog,pmid-31682641,31682641,10.1371/journal.ppat.1007634,2019,SYBIL,The ETS transcription factor ELF1 regulates a broadly antiviral program distinct from the type I interferon response.,Adolfo Garcia-Sastre,explicit cross-virus or shared-host framing in title/abstract,influenza,transcriptomics,high,medium
pi-backlog,pmid-31603272,31603272,10.15252/embr.201948766,2019,SYBIL,Virus-induced autophagic degradation of STAT2 as a mechanism for interferon signaling blockade.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, viral, pathway",,,candidate,medium
pi-backlog,pmid-31424151,31424151,10.1111/cmi.13101,2019,SYBIL,Biphasic regulation of RNA interference during rotavirus infection by modulation of Argonaute2.,Sumit Chanda,"viral context plus mechanism/resource terms: virus, viral, pathway",,,candidate,medium
pi-backlog,pmid-31375585,31375585,10.1128/JVI.00559-19,2019,SYBIL,Innate Immune Response to Influenza Virus at Single-Cell Resolution in Human Epithelial Cells Revealed Paracrine Induction of Interferon Lambda 1.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, viral, influenza, interaction",influenza,,candidate,medium
pi-backlog,pmid-31161074,31161074,10.1186/s40164-019-0136-y,2019,CViSB,Novel GTF2I-PDGFRB and IKZF1-TYW1 fusions in pediatric leukemia with normal karyotype.,Kristian Andersen,explicit cross-virus or shared-host framing in title/abstract,influenza,,high,low
pi-backlog,pmid-31043530,31043530,10.1128/JVI.00151-19,2019,SYBIL,Host-Specific NS5 Ubiquitination Determines Yellow Fever Virus Tropism.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, viral, dengue, zika, pathway, interaction",dengue;zika,,candidate,medium
pi-backlog,pmid-31015836,31015836,10.1155/2019/8512363,2019,SYBIL,Poly-ADP Ribosyl Polymerase 1 (PARP1) Regulates Influenza A Virus Polymerase.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, viral, influenza, host factor, interaction",influenza,,candidate,medium
pi-backlog,pmid-30716099,30716099,10.1371/journal.pone.0211746,2019,SYBIL,The inhibitor apoptosis protein antagonist Debio 1143 Is an attractive HIV-1 latency reversal candidate.,Sumit Chanda,"viral context plus mechanism/resource terms: virus, viral, hiv, pathway",hiv,,candidate,medium
pi-backlog,pmid-30626682,30626682,10.1128/JVI.01696-18,2019,SYBIL,"Broadly Cross-Reactive, Nonneutralizing Antibodies against Influenza B Virus Hemagglutinin Demonstrate Effector Function-Dependent Protection against Lethal Viral Challenge in Mice.",Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, viral, influenza, interaction",influenza,,candidate,medium
pi-backlog,pmid-30463968,30463968,10.1128/JVI.01861-18,2019,SYBIL,Packaging of the Influenza Virus Genome Is Governed by a Plastic Network of RNA- and Nucleoprotein-Mediated Interactions.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, viral, influenza, interaction, network",influenza,network_modeling,candidate,medium
hpmi,pmid-31886769,31886769,10.7554/eLife.52983,2019,HPMI,The structure of the endogenous ESX-3 secretion system.,,candidate relevance plus virus/pathogen/assay support,,structural_biology,candidate,medium
hpmi,pmid-31540829,31540829,10.1016/j.chom.2019.08.017,2019,HPMI,Systematic Identification of Host Cell Regulators of Legionella pneumophila Pathogenesis Using a Genome-wide CRISPR Screen.,,candidate relevance plus virus/pathogen/assay support,legionella_pneumophila,crispr_screen;genome_editing,candidate,medium
hpmi,pmid-31359007,31359007,10.1038/s41587-019-0203-2,2019,HPMI,Large dataset enables prediction of repair after CRISPR-Cas9 editing in primary T cells.,,candidate relevance plus virus/pathogen/assay support,,genome_editing,candidate,low
hpmi,pmid-31253590,31253590,10.1016/j.chom.2019.05.008,2019,HPMI,ARIH2 Is a Vif-Dependent Regulator of CUL5-Mediated APOBEC3G Degradation in HIV Infection.,,candidate relevance plus virus/pathogen/assay support,hiv,proteomics,candidate,medium
hpmi,pmid-31239378,31239378,10.1128/mBio.00850-19,2019,HPMI,Two Accessory Proteins Govern MmpL3 Mycolic Acid Transport in Mycobacteria.,,candidate relevance plus virus/pathogen/assay support,mycobacterium_tuberculosis,structural_biology,candidate,medium
hpmi,pmid-31204998,31204998,10.7554/eLife.45957,2019,HPMI,Cas9(+) conditionally-immortalized macrophages as a tool for bacterial pathogenesis and beyond.,,candidate relevance plus virus/pathogen/assay support,mycobacterium_tuberculosis,genome_editing,candidate,medium
hpmi,pmid-30833725,30833725,10.1038/s41564-019-0375-z,2019,HPMI,Identification of antiviral roles for the exon-junction complex and nonsense-mediated decay in flaviviral infection.,,candidate relevance plus virus/pathogen/assay support,influenza;dengue;zika,proteomics,candidate,medium
current-program,pmid-31720009,31720009,10.1093/ve/vez036,2019,,Divergence dating using mixed effects clock modelling: An application to HIV-1.,,candidate relevance plus virus/pathogen/assay support,hiv,,candidate,medium
current-program,pmid-31668726,31668726,10.1016/S0140-6736(19)32317-7,2019,,"Comprehensive comparative effectiveness and safety of first-line antihypertensive drug classes: a systematic, multinational, large-scale analysis.",,explicit cross-virus/shared-host signal,,,high,low
current-program,pmid-31442400,31442400,10.1016/j.cell.2019.07.018,2019,CViSB,Travel Surveillance and Genomics Uncover a Hidden Zika Outbreak during the Waning Epidemic.,Kristian Andersen,candidate relevance plus virus/pathogen/assay support,zika,,candidate,medium
current-program,pmid-31416162,31416162,10.3390/v11080750,2019,CViSB,Proteomics Computational Analyses Suggest that the Antennavirus Glycoprotein Complex Includes a Class I Viral Fusion Protein (α-Penetrene) with an Internal Zinc-Binding Domain and a Stable Signal Peptide.,Robert Garry,candidate relevance plus virus/pathogen/assay support,,proteomics;transcriptomics,candidate,medium
current-program,pmid-31326608,31326608,10.1016/j.bbmt.2019.07.019,2019,,Gut Colonization Preceding Mucosal Barrier Injury Bloodstream Infection in Pediatric Hematopoietic Stem Cell Transplantation Recipients.,,explicit cross-virus/shared-host signal,,,high,low
current-program,pmid-30992445,30992445,10.1038/s41467-019-09764-z,2019,,Microbial and metabolic succession on common building materials under high humidity conditions.,,candidate relevance plus virus/pathogen/assay support,influenza,metabolomics,candidate,medium
current-program,pmid-30921383,30921383,10.1371/journal.pone.0214284,2019,CViSB,"A medical records and data capture and management system for Lassa fever in Sierra Leone: Approach, implementation, and challenges.",Donald S Grant;Robert Garry,candidate relevance plus virus/pathogen/assay support,influenza,,candidate,medium
current-program,pmid-30706119,30706119,10.1007/s00134-019-05519-y,2019,SCRIPT,Challenges in severe community-acquired pneumonia: a point-of-view review.,Richard Wunderink,candidate relevance plus virus/pathogen/assay support,influenza,,candidate,medium
